X[1, [9.96969536 7.56014316 0.94276397], 196085.244, [6.51208146 5.7939582  2.1351933 ]]
[1, [9.96837936 7.42330307 1.28779941], 196085.244, [6.51208146 5.7939582  2.1351933 ]]
X[1, [9.97005972 7.55642434 0.94177337], 196085.264, [6.51091747 5.79956004 2.1442472 ]]
[1, [9.96883772 7.4199089  1.2870059 ], 196085.264, [6.51091747 5.79956004 2.1442472 ]]
X[1, [9.97066998 7.55286601 0.93240069], 196085.284, [6.50978675 5.80499316 2.15357657]]
[1, [9.96956439 7.41669814 1.27786553], 196085.284, [6.50978675 5.80499316 2.15357657]]
X[1, [9.96860573 7.55711002 0.9457782 ], 196085.344, [6.50658238 5.82035129 2.1832121 ]]
[1, [9.96736495 7.421748   1.29166625], 196085.344, [6.50658238 5.82035129 2.1832121 ]]
X[1, [9.9693662  7.55424897 0.93774387], 196085.364, [6.50557335 5.825179   2.19362604]]
[1, [9.96912492 7.41945165 1.28787027], 196085.364, [6.50557335 5.825179   2.19362604]]
X[1, [9.96895861 7.55608537 0.94124719], 196085.404, [6.50363892 5.83442787 2.21531687]]
[1, [9.96869805 7.42143564 1.29164586], 196085.404, [6.50363892 5.83442787 2.21531687]]
X[1, [9.96954262 7.55292163 0.93461793], 196085.424, [6.50271183 5.83885644 2.22664953]]
[1, [9.96832821 7.41793686 1.2812759 ], 196085.424, [6.50271183 5.83885644 2.22664953]]
X[1, [9.96929384 7.55267619 0.93938329], 196085.464, [6.50093285 5.84734316 2.2503976 ]]
[1, [9.96906197 7.41870696 1.28181272], 196085.464, [6.50093285 5.84734316 2.2503976 ]]
X[1, [9.96996426 7.56016342 0.94071604], 196085.504, [6.49924576 5.85537517 2.27554674]]
[1, [9.9698851  7.42253841 1.28777251], 196085.504, [6.49924576 5.85537517 2.27554674]]
X[1, [9.97027012 7.55533045 0.93583764], 196085.524, [6.49843347 5.8592362  2.28859825]]
[1, [9.96903656 7.42162784 1.28347086], 196085.524, [6.49843347 5.8592362  2.28859825]]
X[1, [9.97065795 7.55050575 0.92290403], 196085.544, [6.49764048 5.86300078 2.30195722]]
[1, [9.96947962 7.41700394 1.2706894 ], 196085.544, [6.49764048 5.86300078 2.30195722]]
[0, [9.97295213 4.35823761 4.11207441], 196085.544, [6.49764048 5.86300078 2.30195722]]
X[1, [9.96896981 7.55869504 0.94243003], 196085.604, [6.49536705 5.87375714 2.34395232]]
[1, [9.96893212 7.42210368 1.28997235], 196085.604, [6.49536705 5.87375714 2.34395232]]
[0, [9.86780737 4.41896936 4.0704262 ], 196085.604, [6.49536705 5.87375714 2.34395232]]
X[1, [9.97017762 7.55340784 0.93455444], 196085.624, [6.49464136 5.87717705 2.35863556]]
[1, [9.96895432 7.42069595 1.28276359], 196085.624, [6.49464136 5.87717705 2.35863556]]
[0, [9.97204718 4.36593404 4.11200757], 196085.624, [6.49464136 5.87717705 2.35863556]]
