[0, [15.97175307 14.80684563  6.95535405], 72668.23, [12.45087187 12.76144106  5.02848802]]
X[1, [15.96907363 12.04942972  3.75217708], 72668.27, [12.45090216 12.81317826  5.02169086]]
[1, [15.96936425 14.85224615  4.0188106 ], 72668.27, [12.45090216 12.81317826  5.02169086]]
[1, [15.96901585 13.36004582  4.02371003], 72668.27, [12.45090216 12.81317826  5.02169086]]
[0, [15.86763122 14.75721106  6.89353891], 72668.27, [12.45090216 12.81317826  5.02169086]]
X[1, [15.96806249 12.05597211  3.74430655], 72668.31, [12.45093068 12.8626012   5.01542366]]
[1, [15.96815116 14.86050867  4.01693139], 72668.31, [12.45093068 12.8626012   5.01542366]]
[1, [15.9680948  13.37295255  4.02475284], 72668.31, [12.45093068 12.8626012   5.01542366]]
[0, [15.96569206 14.81947062  6.95507223], 72668.31, [12.45093068 12.8626012   5.01542366]]
X[1, [15.96801412 12.04107139  3.75457823], 72668.33, [12.45094425 12.88644071  5.01250323]]
[1, [15.96909481 14.84568465  4.01558396], 72668.33, [12.45094425 12.88644071  5.01250323]]
[1, [15.96806893 13.35744654  4.02256566], 72668.33, [12.45094425 12.88644071  5.01250323]]
[0, [15.97210204 14.81424551  6.95793403], 72668.33, [12.45094425 12.88644071  5.01250323]]
X[1, [10.0252502  13.47176641  3.73998071], 72671.69, [13.54205818 13.54750945  4.86445351]]
[1, [10.01210367 12.29768203  3.82373216], 72671.69, [13.54205818 13.54750945  4.86445351]]
[1, [10.0376036  14.95855025  3.74484062], 72671.69, [13.54205818 13.54750945  4.86445351]]
[2, [10.00456169 11.94517787  3.93322774], 72671.69, [13.54205818 13.54750945  4.86445351]]
[1, [10.01049666 12.18204976  4.08362516], 72671.69, [13.54205818 13.54750945  4.86445351]]
[1, [10.02577125 13.60331383  4.09102833], 72671.69, [13.54205818 13.54750945  4.86445351]]
X[1, [10.02904983 13.44620159  3.74600976], 72671.75, [13.55026524 13.54208744  4.86375463]]
[1, [10.02357456 12.26647108  3.82268295], 72671.75, [13.55026524 13.54208744  4.86375463]]
[1, [10.03114285 14.93051713  3.74146642], 72671.75, [13.55026524 13.54208744  4.86375463]]
[2, [10.01914764 11.91732747  3.93603018], 72671.75, [13.55026524 13.54208744  4.86375463]]
[1, [10.02305511 12.16085392  4.0877193 ], 72671.75, [13.55026524 13.54208744  4.86375463]]
[1, [10.03014029 13.57432263  4.09028201], 72671.75, [13.55026524 13.54208744  4.86375463]]
X[1, [10.02993916 13.43215934  3.74299899], 72671.79, [13.55539033 13.53854708  4.86329799]]
[1, [10.02662207 12.26325209  3.8203695 ], 72671.79, [13.55539033 13.53854708  4.86329799]]
[1, [10.02976245 14.92648847  3.74200431], 72671.79, [13.55539033 13.53854708  4.86329799]]
[2, [10.02306573 11.90992776  3.93774665], 72671.79, [13.55539033 13.53854708  4.86329799]]
[1, [10.02608458 12.15257473  4.09100395], 72671.79, [13.55539033 13.53854708  4.86329799]]
[1, [10.03089167 13.56938107  4.08817925], 72671.79, [13.55539033 13.53854708  4.86329799]]
X[1, [10.02903847 13.44610273  3.7449008 ], 72671.81, [13.55785397 13.53679969  4.86307135]]
[1, [10.02086855 12.27622204  3.82283572], 72671.81, [13.55785397 13.53679969  4.86307135]]
[1, [10.03440585 14.93620701  3.74399621], 72671.81, [13.55785397 13.53679969  4.86307135]]
[2, [10.01600583 11.9224653   3.93582622], 72671.81, [13.55785397 13.53679969  4.86307135]]
[1, [10.01993099 12.1643566   4.08668926], 72671.81, [13.55785397 13.53679969  4.86307135]]
[1, [10.03040715 13.58392132  4.09119195], 72671.81, [13.55785397 13.53679969  4.86307135]]
X[1, [10.0296699  13.44103481  3.74348943], 72671.85, [13.56259359 13.53335323  4.86261592]]
[1, [10.02356282 12.27070295  3.82318776], 72671.85, [13.56259359 13.53335323  4.86261592]]
[1, [10.03340619 14.93173623  3.74610022], 72671.85, [13.56259359 13.53335323  4.86261592]]
[2, [10.01865789 11.91644452  3.93586012], 72671.85, [13.56259359 13.53335323  4.86261592]]
[1, [10.02271193 12.15769923  4.08833747], 72671.85, [13.56259359 13.53335323  4.86261592]]
