[1, [ 9.96887075 12.13807668  4.08408124], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
[1, [ 9.97399627 13.31352218  4.1115849 ], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
[1, [ 9.97501199 14.81000055  4.10925341], 68894.95, [ 6.38790664 12.58803462  4.59376381]]
X[1, [ 9.96878337 12.22773327  3.81643478], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[1, [ 9.97325688 13.49103752  3.87684322], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[2, [ 9.97455616 11.87278887  3.93275138], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[1, [ 9.97399369 15.07156977  3.99636451], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[1, [ 9.96882914 12.11655573  4.08040241], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[1, [ 9.97400543 13.30056869  4.10237325], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
[1, [ 9.97394766 14.7918543   4.0957599 ], 68894.97, [ 6.38790635 12.61771071  4.59958491]]
X[1, [ 9.9687882  12.20667571  3.81265652], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[1, [ 9.97399342 13.47868318  3.87240675], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[2, [ 9.97380491 11.85586347  3.9279721 ], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[1, [ 9.97396269 15.04971261  3.98393836], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[1, [ 9.9678246  12.09485969  4.08085215], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[1, [ 9.97392478 13.27851149  4.1019853 ], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
[1, [ 9.97401533 14.76981441  4.09124514], 68894.99, [ 6.38790661 12.64683474  4.60533934]]
X[1, [ 9.96785452 12.21642039  3.81697945], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[1, [ 9.97399898 13.48774209  3.87228859], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[1, [ 9.97400741 15.066765    3.99496435], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[2, [ 9.97457724 11.86880128  3.93378851], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[1, [ 9.96883318 12.11121186  4.08395208], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[1, [ 9.97393394 14.78603709  4.0914866 ], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
[1, [ 9.9750358  13.29055363  4.10024986], 68895.03, [ 6.38790831 12.70342021  4.61661368]]
X[1, [ 9.97017661 12.2279104   3.81915077], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[1, [ 9.97406854 13.49473439  3.87964097], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[1, [ 9.97404696 15.07297969  3.99593506], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[2, [ 9.97389208 11.87994728  3.92981402], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[1, [ 9.96891909 12.11676322  4.08151194], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[1, [ 9.97504226 14.79656807  4.09911897], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
[1, [ 9.97397432 13.30013173  4.10641691], 68895.07, [ 6.38791072 12.75776971  4.62756742]]
X[1, [ 9.97019172 12.21303666  3.81349928], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[1, [ 9.97331044 13.479517    3.87377715], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[1, [ 9.97403111 15.05759339  3.99048793], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[2, [ 9.97386413 11.86459333  3.93188031], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[1, [ 9.97502337 14.78083855  4.09279163], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[1, [ 9.97019352 12.10513597  4.08414815], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
[1, [ 9.97399624 13.28431226  4.10416057], 68895.09, [ 6.38791217 12.78409888  4.63294109]]
X[1, [10.02484982  7.4140723   1.07966315], 68906.65, [13.64028047  5.07071369  2.08290007]]
[1, [10.02496493  7.6137855   1.30922541], 68906.65, [13.64028047  5.07071369  2.08290007]]
X[1, [10.02548968  7.4290302   1.08435796], 68906.69, [13.64390773  5.124619    2.09086289]]
[1, [10.02549005  7.62709296  1.31543986], 68906.69, [13.64390773  5.124619    2.09086289]]
X[1, [10.02587163  7.44249062  1.08919951], 68906.73, [13.6473915   5.17641863  2.09868663]]
[1, [10.02510201  7.63937416  1.31719638], 68906.73, [13.6473915   5.17641863  2.09868663]]
X[1, [10.02491499  7.41771292  1.08137826], 68906.75, [13.64907973  5.20151925  2.10260455]]
[1, [10.02421807  7.62277419  1.31026088], 68906.75, [13.64907973  5.20151925  2.10260455]]
X[1, [10.02449241  7.40541795  1.07746744], 68906.77, [13.6507322   5.22608276  2.10653971]]
[1, [10.02358355  7.60539679  1.30253442], 68906.77, [13.6507322   5.22608276  2.10653971]]
X[1, [10.02581449  7.44351065  1.09233741], 68906.83, [13.65547455  5.29653345  2.11836681]]
[1, [10.02581653  7.63617895  1.3195379 ], 68906.83, [13.65547455  5.29653345  2.11836681]]
X[1, [10.0250802   7.42476358  1.08272019], 68906.85, [13.65698388  5.31893444  2.12225507]]
[1, [10.02611866  7.62055848  1.31098952], 68906.85, [13.65698388  5.31893444  2.12225507]]
X[1, [10.02572824  7.43344664  1.08718797], 68906.89, [13.6598962   5.36210866  2.12985086]]
[1, [10.02545751  7.62877403  1.31198388], 68906.89, [13.6598962   5.36210866  2.12985086]]
X[1, [10.03090709  4.24199463  3.77371783], 68908.97, [13.69905424  5.9238048   3.66833287]]
[2, [10.02499769  4.58566876  3.89040143], 68908.97, [13.69905424  5.9238048   3.66833287]]
[1, [10.03104773  4.350214    4.043155  ], 68908.97, [13.69905424  5.9238048   3.66833287]]
X[1, [10.03235951  4.24057608  3.78547568], 68909.01, [13.69914165  5.92637423  3.7253988 ]]
[2, [10.02573289  4.58379953  3.90215486], 68909.01, [13.69914165  5.92637423  3.7253988 ]]
[1, [10.03137982  4.34815321  4.0504132 ], 68909.01, [13.69914165  5.92637423  3.7253988 ]]
X[1, [10.03112537  4.23891354  3.82356778], 68909.07, [13.69926104  5.93006992  3.8091724 ]]
[2, [10.0257818   4.58725283  3.940311  ], 68909.07, [13.69926104  5.93006992  3.8091724 ]]
[1, [10.03002868  4.34637128  4.08865521], 68909.07, [13.69926104  5.93006992  3.8091724 ]]
X[1, [10.03109808  4.24000803  3.80556096], 68909.09, [13.69929784  5.93125875  3.83643394]]
[2, [10.02573387  4.58833324  3.92227614], 68909.09, [13.69929784  5.93125875  3.83643394]]
[1, [10.03006013  4.34746792  4.07065045], 68909.09, [13.69929784  5.93125875  3.83643394]]
X[1, [10.03104305  4.24216434  3.81348971], 68909.13, [13.69936641  5.93357125  3.88976243]]
[2, [10.02505854  4.58572948  3.93018998], 68909.13, [13.69936641  5.93357125  3.88976243]]
[1, [10.03013632  4.34966089  4.07858713], 68909.13, [13.69936641  5.93357125  3.88976243]]
X[1, [10.03092529  4.24316681  3.7944631 ], 68909.15, [13.69939804  5.93469518  3.91580076]]
[2, [10.02504742  4.58678745  3.91110508], 68909.15, [13.69939804  5.93469518  3.91580076]]
[1, [10.03110098  4.35116614  4.06405401], 68909.15, [13.69939804  5.93469518  3.91580076]]
X[1, [10.03238952  4.24042019  3.78431959], 68909.17, [13.69942784  5.93579792  3.94142129]]
[2, [10.02570961  4.58357586  3.89177479], 68909.17, [13.69942784  5.93579792  3.94142129]]
[1, [10.03096223  4.352147    4.04478805], 68909.17, [13.69942784  5.93579792  3.94142129]]
X[1, [10.03100053  4.23724442  3.7894253 ], 68909.21, [13.69948233  5.93794184  3.99144725]]
[2, [10.02572714  4.5856328   3.9059226 ], 68909.21, [13.69948233  5.93794184  3.99144725]]
[1, [10.03243166  4.35036451  4.05901061], 68909.21, [13.69948233  5.93794184  3.99144725]]
X[1, [15.98870388  4.83521191  6.59382629], 68912.95, [12.46452694  6.10984339  7.45956386]]
[1, [15.97754589  5.80964476  6.59168109], 68912.95, [12.46452694  6.10984339  7.45956386]]
[2, [15.99992831  4.48653627  6.7016632 ], 68912.95, [12.46452694  6.10984339  7.45956386]]
[2, [15.97794713  6.15947176  6.70387565], 68912.95, [12.46452694  6.10984339  7.45956386]]
[1, [15.99294427  4.72489318  6.85582595], 68912.95, [12.46452694  6.10984339  7.45956386]]
[1, [15.97796969  5.91988639  6.8568672 ], 68912.95, [12.46452694  6.10984339  7.45956386]]
X[1, [15.98374204  4.82294033  6.59814344], 68912.99, [12.46107071  6.11158511  7.47403946]]
[1, [15.9763909   5.7980543   6.59312533], 68912.99, [12.46107071  6.11158511  7.47403946]]
